BST Model Scaled Impulse,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_impulse_Mf5.2,scaled_distance_Mf4.0,scaled_impulse_Mf4.0,scaled_distance_Mf3.0,scaled_impulse_Mf3.0,scaled_distance_Mf2.0,scaled_impulse_Mf2.0,scaled_distance_Mf1.4,scaled_impulse_Mf1.4,scaled_distance_Mf1.0,scaled_impulse_Mf1.0,scaled_distance_Mf0.7,scaled_impulse_Mf0.7,scaled_distance_Mf0.35,scaled_impulse_Mf0.35,scaled_distance_Mf0.2,scaled_impulse_Mf0.2
1.022923114,0.032955909,1.141894371,0.028203487,1.756032798,0.017396986,1.756032798,0.017396986,3.138200247,0.009471514,1.423053366,0.021307125,5.721938599,0.005156151,4.322021314,0.006029608,3.907455452,0.004779278
1.054037373,0.030967669,1.212539876,0.026090222,1.90253178,0.016343735,1.90253178,0.016343735,3.332463779,0.008898891,1.466387981,0.020334878,6.076553882,0.004997182,4.498542889,0.005754216,4.149618733,0.004631928
1.054037373,0.030967669,1.327033717,0.025282412,2.040675551,0.015354943,2.040675551,0.015354943,3.433827351,0.008362018,1.466387981,0.020334878,6.324520825,0.004695488,4.682274022,0.005491403,4.318806854,0.004285247
1.119398852,0.030482424,1.381092785,0.023029851,2.124021568,0.014653634,2.124021568,0.014653634,3.683408377,0.008103843,1.541668892,0.019405245,6.583274481,0.00462233,4.87350917,0.005240594,4.72628966,0.004025628
1.153408607,0.028202215,1.381092785,0.023029851,2.210771633,0.013984357,2.210771633,0.013984357,3.950728863,0.00749629,1.588669295,0.018809505,6.886610998,0.004411114,5.123876953,0.00507925,5.120239279,0.003666299
1.212621893,0.026912918,1.481374613,0.021636551,2.347704088,0.013344444,2.347704088,0.013344444,4.237593233,0.007042766,1.670171357,0.017673128,7.204167938,0.004275404,5.44124354,0.004846827,5.437380553,0.003498532
1.212621893,0.026912918,1.481374613,0.021636551,2.443589877,0.012734961,2.443589877,0.012734961,4.500064505,0.006720495,1.791443323,0.016603908,7.498276406,0.004048588,5.663285269,0.004554211,5.8319942,0.003236244
1.262105556,0.025288113,1.588937954,0.020327544,2.543391868,0.012153315,2.543391868,0.012153315,4.731087236,0.00641326,1.883475507,0.016092718,7.726220882,0.003774922,6.014062139,0.004345814,6.192801809,0.002993755
1.313741788,0.024894109,1.588937954,0.020327544,2.647359538,0.011779678,2.647359538,0.011779678,4.924149499,0.006026074,1.883475507,0.016092718,8.042321967,0.003716107,6.515791938,0.004082709,6.642464201,0.002812633
1.313741788,0.024894109,1.687126558,0.018229588,2.755577153,0.011417528,2.755577153,0.011417528,5.17676868,0.005662009,2.020303915,0.015355635,8.540453421,0.003546061,6.815788566,0.003836139,7.053651649,0.002642589
1.381186202,0.023756045,1.687126558,0.018229588,2.868121443,0.010896053,2.868121443,0.010896053,5.497411316,0.00540292,2.020303915,0.015355635,8.712672264,0.003384406,7.165573958,0.003632462,7.642368808,0.002521439
1.481474813,0.02231881,1.84637071,0.017393064,3.015466032,0.010560593,3.015466032,0.010560593,5.83771673,0.005076273,2.188924034,0.014651652,8.977989295,0.003229975,7.647022447,0.00333423,7.954501229,0.002406277
1.557582922,0.021631673,1.84637071,0.017393064,3.107292566,0.010078712,3.107292566,0.010078712,6.261596218,0.00476916,2.255428273,0.013555649,9.438898155,0.003082313,8.202553913,0.003181515,8.446336194,0.002191689
1.621198293,0.020643686,1.980235679,0.015597265,3.234201745,0.009618385,3.234201745,0.009618385,6.517114215,0.004481233,2.255428273,0.013555649,9.726659051,0.002987686,8.623653744,0.003036068,8.969795132,0.002124117
1.687354801,0.019397372,2.103031262,0.015352866,3.400238058,0.00917867,3.400238058,0.00917867,6.851919256,0.004343267,2.347465909,0.012737258,,,8.975257076,0.002808831,9.289582604,0.002042943
1.828124245,0.018223014,2.301298247,0.013981835,3.539111824,0.008759451,3.539111824,0.008759451,7.203437063,0.004080869,2.347465909,0.012737258,,,9.341511882,0.002639255,9.81477453,0.001875298
1.828124245,0.018223014,2.301298247,0.013981835,3.683657524,0.008359379,3.683657524,0.008359379,7.726482179,0.003833977,2.46797929,0.01215496,,,9.723205739,0.002538336,,
1.94122469,0.016857577,2.395207707,0.013137714,3.872898815,0.008102016,3.872898815,0.008102016,8.122866895,0.003602347,2.568951155,0.011965578,,,,,,
1.94122469,0.016857577,2.621108784,0.012151672,4.071586635,0.007612532,4.071586635,0.007612532,8.454909927,0.003491598,2.714601385,0.01177835,,,,,,
